Series Name,Series Code,1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Oil pipeline capacity by project status (barrels of oil equivalent per day) - Construction,CC.OIL.PSBC.CO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,120000,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.9,3.473436832,5.427343369,7.378530502,9.326317787,14.5,13.20889187,15.13117123,17.03308487,18.92741394,16,22.70271492,24.58838654,26.47592926,28.36799431,30.26729012,23,19.20000076,36.03565598,37.9909668,39.96610641,36,41.59999847,53.09999847,55.97640991,61.2845726,69.69999695,71.4379425,..,..,..
Account (% age 15+),account.t.d,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.34345627,..,..,74.65783691,..,..,81.56756592,..,..,..,..,..,..
"Account, income, poorest 40% (% ages 15+)",account.t.d.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.43515205,..,..,63.16889954,..,..,70.45348358,..,..,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,44.27733071,44.28611589,44.29490108,44.30368626,44.31247145,44.32125663,44.33004182,44.338827,44.34761219,44.35639737,44.36518256,44.37396774,44.38275293,44.39153811,44.93094845,44.94149067,44.94500474,44.94500474,44.94500474,44.94500474,44.94500474,44.94500474,44.94500474,44.81322697,46.30495133,46.33833503,46.44727132,46.84611871,47.53312015,47.03587869,47.22388165,47.56650385,47.15887128,47.84762976,47.82303124,46.47538391,46.72664019,46.48768317,47.22212461,46.86193204,47.15711424,47.12021647,47.21861054,47.42594089,47.44351126,47.53487718,47.56298977,47.58934533,47.94075271,48.00224901,48.54693046,48.72263415,48.54693046,48.54693046,48.54693046,48.54693046,48.54693046,48.54693046,48.54693046,48.54693046,..,..,..
Arable land (% of land area),AG.LND.ARBL.ZS,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.149629265,6.676740345,6.676740345,6.676740345,6.676740345,6.676740345,6.676740345,6.676740345,6.676740345,6.676740345,6.544962575,8.036686931,8.070070633,8.179006923,8.577854306,9.264855747,8.767614295,8.955617247,9.298239449,8.890606881,9.579365358,9.554766841,8.207119514,8.458375795,8.219418772,8.95386021,8.593667639,9.010085392,8.945075025,9.041712057,9.238500193,9.249042415,9.329866114,9.312295744,9.312295744,9.663703131,9.663703131,10.19081421,10.3665179,10.19081421,10.19081421,10.19081421,10.19081421,10.19081421,10.19081421,10.19081421,10.19081421,..,..,..
Average per capita transfer -All Social Protection and Labor (preT),per_allsp.avt_pop_preT_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.432835916,..,..,..,..,..,..,..,..,..,0.056419003,..,..,..,..,..,..,..,..
Average practical solar potential (kWh/kWp/day),CC.EG.SOLR.KW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5042,..,..,..,..,..
Average supply of protein of animal origin (g/cap/day),CC.PRO.ANI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,15,15.3,16,16.7,16.7,16.3,16.3,16.7,17,16.7,16,15,14.3,14.3,14.3,14.3,..,..,..,..,..
Children under 5 years of age who are stunted (% of total),CC.CUF.STUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.2,..,..,..,..,..,..,..,..,..
CO2 emissions by sector (Mt CO2 eq) - Building,CC.CO2.EMSE.BL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.6,0.56,0.54,0.5,0.53,0.74,0.77,0.81,0.95,1.19,1.13,0.92,0.83,0.6,0.72,0.91,0.84,0.82,0.76,1.03,1,0.87,0.98,0.95,1.03,1.28,1.23,1.49,1.23,..,..,..,..,..
CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,CC.CO2.EMSE.BF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,0.87,1.16,1.32,1.74,1.6,1.68,1.61,1.63,1.58,1.62,1.56,1.7,1.71,1.82,1.88,1.99,2.19,1.88,1.89,1.81,2.22,2.2,1.83,1.79,2.1,2.07,2.23,2.31,..,..,..,..,..
CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,CC.CO2.EMSE.EH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42,0.41,0.45,0.48,0.55,0.49,0.58,0.61,1.12,1.43,2.19,1.59,1.13,0.93,1.44,1.71,1.9,1.89,2.41,2.96,2.28,2.56,2,2.56,1.56,1.1,1.84,1.9,1.9,..,..,..,..,..
CO2 emissions by sector (Mt CO2 eq) - Energy,CC.CO2.EMSE.EN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.52,5.31,5.34,5.29,5.28,5.73,6.23,6.03,6.58,6.9,7.77,7.08,6.84,5.87,6.72,7.48,8.45,8.38,8.82,10.43,11.21,11.32,10.36,12.13,12.87,14.75,16.31,16.43,15.94,..,..,..,..,..
CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,CC.CO2.EMSE.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..
