Year,Month,Index,Mean
1962,Mar,0.48,0.48
,Jun,0.48,
,Sep,0.49,
,Dec,0.49,
1963,Mar,0.49,0.49
,Jun,0.49,
,Sep,0.50,
,Dec,0.51,
1964,Mar,0.50,0.50
,Jun,0.50,
,Sep,0.51,
,Dec,0.52,
1965,Mar,0.52,0.52
,Jun,0.52,
,Sep,0.53,
,Dec,0.53,
1966,Mar,0.53,0.54
,Jun,0.54,
,Sep,0.54,
,Dec,0.54,
1967,Mar,0.55,0.55
,Jun,0.55,
,Sep,0.55,
,Dec,0.56,
1968,Mar,0.56,0.56
,Jun,0.56,
,Sep,0.57,
,Dec,0.57,
1969,Mar,0.57,0.57
,Jun,0.57,
,Sep,0.58,
,Dec,0.58,
1970,Mar,0.58,0.61
,Jun,0.62,
,Sep,0.63,
,Dec,0.63,
1971,Mar,0.63,0.64
,Jun,0.64,
,Sep,0.64,
,Dec,0.64,
1972,Mar,0.65,0.67
,Jun,0.66,
,Sep,0.68,
,Dec,0.70,
1973,Mar,0.70,0.73
,Jun,0.73,
,Sep,0.74,
,Dec,0.77,
1974,Mar,0.81,0.85
,Jun,0.85,
,Sep,0.87,
,Dec,0.89,
1975,Mar,0.97,1.00
,Jun,1.00,
,Sep,1.02,
,Dec,1.04,
1976,Mar,1.10,1.11
,Jun,1.10,
,Sep,1.11,
,Dec,1.12,
1977,Mar,1.21,1.24
,Jun,1.25,
,Sep,1.26,
,Dec,1.28,
1978,Mar,1.36,1.40
,Jun,1.39,
,Sep,1.43,
,Dec,1.44,
1979,Mar,1.46,1.51
,Jun,1.51,
,Sep,1.54,
,Dec,1.59,
1980,Mar,1.62,1.70
,Jun,1.70,
,Sep,1.77,
,Dec,1.79,
1981,Mar,1.84,1.92
,Jun,1.89,
,Sep,1.97,
,Dec,2.04,
1982,Mar,2.26,2.35
,Jun,2.28,
,Sep,2.41,
,Dec,2.52,2.60
1983,Mar,2.56,
,Jun,2.63,
,Sep,2.75,
,Dec,2.92,
1984,Jan,2.89,3.02
,Feb,2.89,
,Mar,2.94,
,Apr,2.95,
,May,2.95,
,Jun,2.98,
,Jul,3.05,
,Aug,3.07,
,Sep,3.11,
,Oct,3.12,
,Nov,3.14,
,Dec,3.18,
1985,Jan,3.20,3.35
,Feb,3.23,
,Mar,3.31,
,Apr,3.31,
,May,3.33,
,Jun,3.35,
,Jul,3.35,
,Aug,3.39,
,Sep,3.40,
,Oct,3.41,
,Nov,3.41,
,Dec,3.48,
1986,Jan,3.61,3.70
,Feb,3.66,
,Mar,3.67,
,Apr,3.67,
,May,3.68,
,Jun,3.70,
,Jul,3.69,
,Aug,3.70,
,Sep,3.71,
,Oct,3.74,
,Nov,3.76,
,Dec,3.81,
1987,Jan,3.89,4.01
,Feb,3.94,
,Mar,3.96,
,Apr,3.97,
,May,3.97,
,Jun,4.01,
,Jul,4.02,
,Aug,4.02,
,Sep,4.06,
,Oct,4.10,
,Nov,4.12,
,Dec,4.19,
1988,Jan,4.29,4.52
,Feb,4.31,
,Mar,4.39,
,Apr,4.42,
,May,4.44,
,Jun,4.51,
,Jul,4.52,
,Aug,4.58,
,Sep,4.66,
,Oct,4.68,
,Nov,4.69,
,Dec,4.74,
1989,Jan,4.89,5.11
,Feb,4.90,
,Mar,4.99,
,Apr,5.03,
,May,5.07,
,Jun,5.14,
,Jul,5.19,
,Aug,5.16,
,Sep,5.23,
,Oct,5.25,
,Nov,5.28,
,Dec,5.38,
1990,Jan,5.58,5.90
,Feb,5.60,
,Mar,5.71,
,Apr,5.78,
,May,5.76,
,Jun,5.84,
,Jul,5.85,
,Aug,5.87,
,Sep,6.01,
,Oct,6.22,
,Nov,6.37,
,Dec,6.53,
1991,Jan,6.50,7.05
,Feb,6.67,
,Mar,6.80,
,Apr,6.80,
,May,6.98,
,Jun,7.04,
,Jul,7.13,
,Aug,7.16,
,Sep,7.34,
,Oct,7.35,
,Nov,7.40,
,Dec,7.44,
1992,Jan,7.57,8.98
,Feb,7.64,
,Mar,8.31,
,Apr,8.38,
,May,8.65,
,Jun,9.54,
,Jul,9.43,
,Aug,9.47,
,Sep,9.63,
,Oct,9.51,
,Nov,9.66,
,Dec,9.94,
1993,Jan,10.01,12.87
,Feb,10.81,
,Mar,11.15,
,Apr,11.91,
,May,12.34,
,Jun,13.28,
,Jul,13.52,
,Aug,13.98,
,Sep,14.82,
,Oct,14.97,
,Nov,15.13,
,Dec,15.38,
1994,Jan,16.16,16.88
,Feb,16.68,
,Mar,17.13,
,Apr,17.59,
,May,17.41,
,Jun,17.09,
,Jul,17.22,
,Aug,16.99,
,Sep,16.73,
,Oct,16.81,
,Nov,16.41,
,Dec,16.40,
1995,Jan,16.74,17.12
,Feb,16.91,
,Mar,17.01,
,Apr,16.95,
,May,17.09,
,Jun,17.12,
,Jul,17.12,
,Aug,17.21,
,Sep,17.40,
,Oct,17.37,
,Nov,17.32,
,Dec,17.53,
1996,Jan,17.73,18.60
,Feb,17.81,
,Mar,18.10,
,Apr,18.16,
,May,18.29,
,Jun,18.76,
,Jul,19.02,
,Aug,19.08,
,Sep,19.18,
,Oct,19.22,
,Nov,19.26,
,Dec,19.40,
1997,Jan,19.68,20.78
,Feb,19.96,
,Mar,20.97,
,Apr,21.12,
,May,21.47,
,Jun,21.19,
,Jul,20.73,
,Aug,20.59,
,Sep,20.90,
,Oct,20.73,
,Nov,20.73,
,Dec,21.30,
1998,Jan,21.99,21.91
,Feb,21.84,
,Mar,21.80,
,Apr,21.76,
