Reporter Name,Partner Name,Trade Flow,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya, World,Export,Export Partner Share (%),100,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,100,,100,100,100,100,100,100
Kenya,Afghanistan,Export,Export Partner Share (%),,,,,,,,,2.0082,2.361,1.1727,2.7371,1.3647,0.568,0.6146,0.9325,1.2509,2.2152,2.9107,,,3.3261,,2.4958,1.8485,0.5297,0.6155,0.6065,0.359
Kenya,Albania,Export,Export Partner Share (%),,,,,,,,,,0,0,0.0018,,0.0004,0,,,,0.0003,,,0.0037,,,0,0.0011,0.0011,0.0007,0.0029
Kenya,Algeria,Export,Export Partner Share (%),,,,,,0.0525,0.0098,0.0134,0.0117,0.0893,0.5041,0.0036,0.0137,0.0032,0.0019,0.0007,0.0018,0.0005,0.0009,,,0.1143,,0.0623,0.0212,0.0051,0.0066,0.0199,0.0056
Kenya,American Samoa,Export,Export Partner Share (%),,,,,,,,,,,,0.0006,0.0005,0.005,0.0069,0.0007,0.0001,0.0208,0.0019,,,0.0003,,0.0788,0.6256,0.1714,0.1932,0.4762,0.0032
Kenya,Andorra,Export,Export Partner Share (%),,,,,,,,,,0.0002,0.0003,,,0.0026,0.0034,0.0119,0.0005,,,,,,,,0.0016,,0.0006,,
Kenya,Angola,Export,Export Partner Share (%),0.0195,,,,,0.0114,0.0117,0.0271,0.0053,0.0257,0.0384,0.1543,0.0555,0.0484,0.1235,0.1056,0.0457,0.0357,0.0615,,,0.0369,,0.0176,0.0129,0.0066,0.0168,0.0115,0.0243
Kenya,Anguila,Export,Export Partner Share (%),,,,,,,,,,,,0.0006,0.0002,0,0.0004,0.0014,0.0052,0.0018,0,,,,,0.0003,,0,,0,
Kenya,Antigua and Barbuda,Export,Export Partner Share (%),,,,,,,,,,,,0.0014,0.015,0.0021,0.0002,0.0045,0.0006,0.001,0.0015,,,0.0007,,,0.0001,0.0001,,0,0
Kenya,Argentina,Export,Export Partner Share (%),,,,,,0.038,0.048,0.0433,0.0261,0.0199,0.0083,0.0132,0.0043,0.0089,0.004,0.0048,0.0028,0.002,0,,,0.0001,,0.0102,0.0002,0,0.0055,0.0005,0.0004
Kenya,Armenia,Export,Export Partner Share (%),,,,,,,,,,,,0.0039,0.0005,0.0009,0.0012,0.0008,0.001,0.0014,0.0043,,,0.0475,,0.0001,0.0004,0.0002,0.0003,0.0005,0.0007
Kenya,Aruba,Export,Export Partner Share (%),,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0001,0.0002
Kenya,Australia,Export,Export Partner Share (%),0.2983,,,,,0.3299,0.3251,0.5091,0.4618,0.6571,0.2366,0.4086,0.2541,0.2736,0.2189,0.4006,0.1353,0.1906,0.1553,,,0.5572,,0.3981,0.3812,0.3846,0.4697,0.4048,0.3668
Kenya,Austria,Export,Export Partner Share (%),0.0596,,,,,0.0727,0.0308,0.0504,0.0924,0.0827,0.0701,0.1691,0.0224,0.0237,0.0235,0.0448,0.0824,0.1097,0.131,,,0.0168,,0.0167,0.0198,0.016,0.0215,0.0149,0.0218
