"Year","Month","Food and Live Animals","Beverages and Tobacco","Crude Materials Inedible except Fuels","Mineral Fuels Lubricants and related Materials","Animals and Vegetable Oils and Fats","Chemicals","Manufactured Goods Classified Chiefly by Materials","Machinery and Transport Equipment","Other","Total"
"2023","June","35,014","1,831","5,574","48,696","11,032","25,667","36,140","35,381","10,831","210,166"
"2023","May","31,103","1,474","6,074","55,198","10,555","38,609","36,977","37,569","12,720","230,279"
"2023","April","24,470","1,062","4,698","61,267","10,348","37,183","28,606","30,391","10,268","208,293"
"2023","March","36,330","1,312","5,707","50,005","11,267","40,115","30,914","33,559","8,472","217,680"
"2023","February","17,631","1,497","3,862","54,025","4,905","28,811","27,161","29,186","8,993","176,071"
"2023","January","23,087","1,544","4,162","43,992","15,356","37,319","27,957","31,489","10,308","195,214"
"2022","December","26,249","1,761","5,432","50,156","9,878","30,840","29,081","36,243","10,148","199,788"
"2022","November","22,088","1,730","5,328","44,076","13,087","26,839","30,981","36,221","11,633","191,982"
"2022","October","19,780","1,233","4,775","53,285","6,678","26,732","28,060","36,800","10,802","188,145"
"2022","September","24,253","1,311","5,531","55,962","11,357","33,076","31,003","33,701","9,671","205,864"
"2022","August","23,744","995","4,638","71,533","16,207","37,959","36,357","36,383","10,636","238,452"
"2022","July","16,052","1,063","4,457","67,448","8,467","32,204","34,781","35,946","12,479","212,897"
"2022","June","23,589","1,082","4,472","52,990","15,178","35,481","39,263","43,726","11,804","227,584"
"2022","May","23,754","1,169","3,837","69,530","18,076","30,552","37,085","38,091","11,241","233,335"
"2022","April","18,356","1,201","4,059","59,782","9,448","28,707","32,672","31,003","9,835","195,062"
"2022","March","18,323","1,144","3,932","50,645","12,082","39,270","39,216","37,796","10,909","213,318"
"2022","February","15,037","1,081","4,658","42,466","9,562","26,560","30,369","40,710","13,150","183,591"
"2022","January","16,217","1,749","4,217","36,277","12,933","37,290","38,984","35,992","10,522","194,180"
"2021","December","15,918","1,636","4,268","41,932","13,733","33,797","33,944","46,640","11,537","203,405"
"2021","November","18,202","1,513","4,381","40,711","11,551","31,447","32,388","40,877","10,634","191,702"
"2021","October","20,421","998","3,619","36,131","12,462","29,020","33,189","41,719","9,936","187,496"
"2021","September","19,566","795","4,090","34,303","13,401","26,862","34,568","45,384","11,461","190,429"
"2021","August","15,882","1,128","4,536","33,718","8,185","28,108","33,403","37,213","10,536","172,708"
"2021","July","15,440","814","3,932","32,399","9,700","25,776","37,581","41,711","9,725","177,077"
"2021","June","16,079","1,295","4,143","26,503","8,978","25,478","30,294","37,508","9,671","159,949"
"2021","May","13,434","1,033","4,198","29,617","9,008","28,228","33,729","34,248","8,195","161,690"
"2021","April","17,818","1,223","3,644","27,672","7,973","27,058","30,655","36,396","9,251","161,689"
"2021","March","18,754","1,909","4,183","28,140","4,762","36,157","38,287","43,780","11,456","187,429"
"2021","February","19,031","1,180","3,921","25,241","10,613","23,329","32,340","35,331","8,348","159,334"
"2021","January","14,927","1,243","4,166","25,094","10,457","25,250","29,251","38,795","11,533","160,717"
"2020","December","16,584","1,866","4,712","20,828","6,564","25,975","29,049","45,107","10,770","161,456"
"2020","November","12,762","1,252","4,440","21,156","9,460","20,852","26,748","33,590","8,780","139,040"
"2020","October","14,358","838","4,392","18,722","8,437","22,325","30,010","36,291","9,792","145,164"
"2020","September","12,675","804","3,364","18,272","8,721","23,571","29,062","36,935","9,933","143,337"
"2020","August","9,685","564","2,325","20,677","4,905","26,078","22,288","42,766","8,501","137,789"
"2020","July","14,055","802","2,349","17,884","8,178","23,970","26,313","37,018","9,194","139,763"
"2020","June","15,969","721","2,340","13,895","3,609","21,301","24,705","30,487","8,543","121,570"
"2020","May","12,005","882","2,812","5,883","9,083","23,730","22,015","26,429","6,412","109,250"
"2020","April","15,046","614","2,452","15,428","9,425","20,394","20,294","26,362","6,407","116,423"
"2020","March","13,568","760","4,058","30,983","9,642","22,222","21,182","29,527","5,619","137,561"
"2020","February","15,298","769","3,201","24,837","5,729","20,226","21,024","35,214","7,165","133,464"
"2020","January","16,070","1,030","4,074","23,134","10,349","24,034","23,868","43,136","9,736","155,431"
"2019","December","14,459","1,031","3,593","29,797","6,284","20,456","23,381","48,088","8,173","155,261"
"2019","November","14,690","1,818","3,704","24,809","4,653","20,839","24,440","53,032","11,203","159,188"
"2019","October","15,209","1,692","4,237","24,888","5,297","22,115","26,119","49,457","10,161","159,175"
"2019","September","14,708","2,523","3,433","29,500","3,537","20,567","24,571","41,559","8,977","149,375"
"2019","August","17,816","1,375","3,944","21,955","4,848","21,681","26,667","36,148","11,070","145,504"
"2019","July","14,691","981","4,063","28,381","3,843","17,281","31,671","41,340","11,340","153,590"
"2019","June","14,623","960","4,268","30,481","4,775","19,727","27,582","38,359","8,665","149,439"
"2019","May","15,977","843","3,926","35,985","5,247","22,700","24,685","36,486","9,988","155,837"
"2019","April","14,506","709","3,534","36,796","4,500","21,547","24,493","36,062","8,005","150,152"
"2019","March","15,117","834","2,770","22,523","5,381","24,401","18,675","28,241","7,308","125,251"
"2019","February","12,280","797","2,166","24,761","3,558","19,824","22,247","48,702","7,934","142,269"
