Series,Series Code,2023Q3 [2023Q3],2023Q2 [2023Q2],2023Q1 [2023Q1],2023M07 [2023M07],2023M06 [2023M06],2023M05 [2023M05],2023M04 [2023M04],2023M03 [2023M03],2023M02 [2023M02],2023M01 [2023M01],2023 [2023],2022Q4 [2022Q4],2022Q3 [2022Q3],2022Q2 [2022Q2],2022Q1 [2022Q1],2022M12 [2022M12],2022M11 [2022M11],2022M10 [2022M10],2022M09 [2022M09],2022M08 [2022M08],2022M07 [2022M07],2022M06 [2022M06],2022M05 [2022M05],2022M04 [2022M04],2022M03 [2022M03],2022M02 [2022M02],2022M01 [2022M01],2022 [2022],2021Q4 [2021Q4],2021Q3 [2021Q3],2021Q2 [2021Q2],2021Q1 [2021Q1],2021M12 [2021M12],2021M11 [2021M11],2021M10 [2021M10],2021M09 [2021M09],2021M08 [2021M08],2021M07 [2021M07],2021M06 [2021M06],2021M05 [2021M05],2021M04 [2021M04],2021M03 [2021M03],2021M02 [2021M02],2021M01 [2021M01],2021 [2021],2020Q4 [2020Q4],2020Q3 [2020Q3],2020Q2 [2020Q2],2020Q1 [2020Q1],2020M12 [2020M12]
"Core CPI,not seas.adj,,,",CORENS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Core CPI,seas.adj,,,",CORESA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"CPI Price, % y-o-y, median weighted, seas. adj.,",CPTOTSAXMZGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"CPI Price, % y-o-y, not seas. adj.,,",CPTOTSAXNZGY,..,..,..,0,0,8.080560992,7.888082225,9.243067699,9.238263207,8.959757024,5.545875562,..,..,..,..,9.010152284,9.438623392,9.555992814,9.200447543,8.564275231,8.297964487,7.924068269,7.137241199,6.387225549,5.638634764,5.129789864,5.36,7.657179193,..,..,..,..,5.658353446,5.728181573,6.42811618,6.998802836,6.686930091,6.503690037,6.313645621,5.912287195,5.599340176,5.97557565,5.820797907,5.683419446,6.108444635,..,..,..,..,5.537735849
"CPI Price, seas. adj.,,,",CPTOTSAXN,..,..,..,0,0,249.1541353,248.6090226,246.5977444,244.4924812,242.7631579,246.3233083,..,..,..,..,242.1992481,241.4849624,240.7142857,238.4962406,236.3721805,235.018797,232.9699248,230.5263158,230.4323308,225.7330827,223.8157895,222.8007519,233.3803258,..,..,..,..,222.1804511,220.6578947,219.7180451,218.4022556,217.7255639,217.0112782,215.8646617,215.1691729,216.5977444,213.6842105,212.8947368,211.4661654,216.781015,..,..,..,..,210.2819549
"CPI Price,not seas.adj,,,",CPTOTNSXN,..,..,..,0,0,246.7260249,244.5371916,243.3314784,241.3837878,239.8256353,243.1608236,..,..,..,..,239.2691523,238.0077908,237.1730662,235.0769802,232.9437952,231.9606752,230.4210722,228.3806344,226.6184381,222.852903,220.9794101,220.0704879,230.3128671,..,..,..,..,219.3841588,217.3993693,216.4162493,215.3218327,214.6355036,214.1532183,213.5225376,213.2813949,212.8547579,211.1111111,210.2763866,208.8295307,213.9321709,..,..,..,..,207.5125209
"Exchange rate, new LCU per USD extended backward, period average,,",DPANUSSPB,..,..,..,141.0636364,139.7043182,137.1454348,134.329,129.8131522,125.550875,123.9338636,133.0771829,..,..,..,..,122.9986364,121.9347727,121.0454762,120.4488636,119.4891304,118.4040476,117.4,116.2836364,115.462619,114.1663043,113.69325,113.3897619,117.8930416,..,..,..,..,112.8882609,111.9577273,110.8690476,110.1515909,109.2627273,108.1609091,107.8059091,107.387381,107.9754545,109.7204348,109.649,109.8042857,109.6360607,..,..,..,..,110.4830435
"Exchange rate, old LCU per USD extended forward, period average,,",DPANUSSPF,..,..,..,141.0636364,139.7043182,137.1454348,134.329,129.8131522,125.550875,123.9338636,133.0771829,..,..,..,..,122.9986364,121.9347727,121.0454762,120.4488636,119.4891304,118.4040476,117.4,116.2836364,115.462619,114.1663043,113.69325,113.3897619,117.8930416,..,..,..,..,112.8882609,111.9577273,110.8690476,110.1515909,109.2627273,108.1609091,107.8059091,107.387381,107.9754545,109.7204348,109.649,109.8042857,109.6360607,..,..,..,..,110.4830435
"Exports Merchandise, Customs, constant US$, millions, not seas. adj.",DXGSRMRCHNSKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Exports Merchandise, Customs, constant US$, millions, seas. adj.",DXGSRMRCHSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
